Subject,Course,Course Code,Points,Level,College
Business and administration,International Business,AC120,209,8,American College
Humanities (except languages),Liberal Arts,AC137,252,8,American College
Arts,"First Year Art & Design (Common Entry,portfolio)",AD101,0,8,National College of Art and Design
Arts,Graphic Design and Moving Image Design (portfolio),AD102,0,8,National College of Art and Design
Arts,Textile & Surface Design and Jewellery & Objects (portfolio),AD103,0,8,National College of Art and Design
Education,"Education & Design or Fine Art (Second Level Teaching,portfolio))",AD202,0,8,National College of Art and Design
Arts,Fine Art (portfolio),AD204,0,8,National College of Art and Design
Arts,Fashion Design (portfolio),AD211,0,8,National College of Art and Design
Arts,Product Design (portfolio),AD212,0,8,National College of Art and Design
Arts,Visual Culture,AD215,377,8,National College of Art and Design
Arts,Illustration (portfolio),AD217,0,8,National College of Art and Design
Information and Communication Technologies (ICTs),Interaction Design (portfolio),AD222,0,8,National College of Art and Design
Information and Communication Technologies (ICTs),Software Design,AL600,104,6,Athlone Institute of Technology
Engineering and engineering trades,Computer Engineering,AL601,219,6,Athlone Institute of Technology
Engineering and engineering trades,Mechanical Engineering,AL602,260,6,Athlone Institute of Technology
Architecture and construction,Civil Engineering,AL604,244,6,Athlone Institute of Technology
Engineering and engineering trades,Music and Instrument Technology,AL605,306,6,Athlone Institute of Technology
Health,Pharmacy Technician,AL630,379,6,Athlone Institute of Technology
Health,Dental Nursing,AL631,388,6,Athlone Institute of Technology
Biological and related sciences,Applied Science,AL632,434,6,Athlone Institute of Technology
Business and administration,Business,AL650,207,6,Athlone Institute of Technology
Personal services,Culinary Arts,AL660,270,6,Athlone Institute of Technology
Personal services,Bar Supervision,AL661,241,6,Athlone Institute of Technology
Personal services,Business (Sport and Recreation),AL663,262,6,Athlone Institute of Technology
Information and Communication Technologies (ICTs),Computer Engineering with Network Infrastructure,AL701,216,7,Athlone Institute of Technology
Information and Communication Technologies (ICTs),Software Design with Artificial Intelligence for Cloud Computing,AL702,214,7,Athlone Institute of Technology
Information and Communication Technologies (ICTs),Software Design with Virtual Reality and Gaming,AL703,216,7,Athlone Institute of Technology
Information and Communication Technologies (ICTs),Computer Engineering,AL704,204,7,Athlone Institute of Technology
Information and Communication Technologies (ICTs),Software Design with Mobile Apps and Connected Devices,AL705,216,7,Athlone Institute of Technology
Engineering and engineering trades,Mechanical Engineering,AL710,223,7,Athlone Institute of Technology
Engineering and engineering trades,Mechanical Engineering and Renewable Energy,AL711,228,7,Athlone Institute of Technology
Engineering and engineering trades,Automation and Robotics,AL712,252,7,Athlone Institute of Technology
Engineering and engineering trades,Engineering (Common Entry to Mechanical/Renewable/Mechatronic Eng),AL713,218,7,Athlone Institute of Technology
Engineering and engineering trades,Music and Sound Engineering,AL718,214,7,Athlone Institute of Technology
Architecture and construction,Civil Engineering,AL721,233,7,Athlone Institute of Technology
Biological and related sciences,Biotechnology,AL730,250,7,Athlone Institute of Technology
Veterinary,Veterinary Nursing,AL731,400,7,Athlone Institute of Technology
Physical sciences,Pharmaceutical Sciences (Drug Development and Analysis),AL734,244,7,Athlone Institute of Technology
Personal services,Exercise and Health Science,AL740,250,7,Athlone Institute of Technology
Business and administration,Digital Marketing,AL751,241,7,Athlone Institute of Technology
Business and administration,Business,AL752,225,7,Athlone Institute of Technology
Personal services,Hotel and Leisure Management,AL761,208,7,Athlone Institute of Technology
Arts,Graphic Design (portfolio),AL763,781,7,Athlone Institute of Technology
Welfare,Early Years Care and Education,AL764,260,7,Athlone Institute of Technology
Welfare,Applied Social Studies in Social Care,AL765,280,7,Athlone Institute of Technology
Information and Communication Technologies (ICTs),Software Design with Virtual Reality and Gaming,AL801,303,8,Athlone Institute of Technology
Information and Communication Technologies (ICTs),Software Design with Artificial Intelligence for Cloud Computing,AL802,332,8,Athlone Institute of Technology
Information and Communication Technologies (ICTs),Software Design with Mobile Apps and Connected Devices,AL803,337,8,Athlone Institute of Technology
Information and Communication Technologies (ICTs),Computer Engineering with Network Infrastructure,AL805,333,8,Athlone Institute of Technology
Architecture and construction,Quantity Surveying,AL810,319,8,Athlone Institute of Technology
Architecture and construction,Civil Engineering,AL811,320,8,Athlone Institute of Technology
Manufacturing and processing,Mechanical and Polymer Engineering,AL820,308,8,Athlone Institute of Technology
Health,General Nursing,AL830,442,8,Athlone Institute of Technology
Health,Psychiatric Nursing,AL832,387,8,Athlone Institute of Technology
Health,Nutrition and Health Science,AL836,334,8,Athlone Institute of Technology
Personal services,Sports Science with Exercise Physiology,AL837,351,8,Athlone Institute of Technology
